DC_red,AC_red,DC_ir,AC_ir,SpO2
107.0599961,0.176877287,139.4787539,0.338542334,97.17944927
106.9743569,0.126898097,139.2660304,0.27267603,97.17947766
106.805332,0.122623404,139.0007465,0.24815887,97.179481
106.63018,0.143492472,138.6449303,0.282728915,97.17939027
106.5523733,0.139099254,138.5252907,0.255490123,97.17944199
106.3743538,0.124696533,138.2685815,0.242735239,97.179462
106.3084454,0.132150071,138.2070621,0.261219167,97.17940807
106.2855401,0.136489541,138.283982,0.252868353,97.1794247
106.1992514,0.137495682,138.1184157,0.243407135,97.17944284
106.141255,0.119281508,138.0775443,0.218395328,97.17941026
106.0154691,0.083759474,138.1395576,0.169233405,96.7225932
105.7822445,0.088631875,137.9500123,0.186063175,95.964408
105.4822138,0.09516072,137.7092807,0.180708477,95.36172984
105.2820303,0.124913855,137.8190005,0.217447015,94.61278494
104.8499735,0.120119459,137.4879351,0.21126622,93.80912152
104.5677651,0.133999877,136.9852402,0.209034393,92.95066757
104.7244625,0.145972016,136.6518433,0.234240999,92.0003251
105.1631722,0.146122809,136.2625198,0.241310775,92.46579387
105.3141585,0.173631503,135.6023262,0.271908328,94.12804722
105.2487482,0.154107382,134.7819717,0.253397501,95.37910373
105.22128,0.174855324,134.208721,0.318732676,96.02731249
92.45408589,0.128055475,122.7787176,0.258039274,97.17894653
92.40546599,0.140943994,122.5906544,0.293129028,97.17891928
92.05911157,0.137310557,122.165857,0.26546711,97.61913564
91.68144611,0.140058952,121.633682,0.265662983,97.98167276
91.58563955,0.164225108,121.4453595,0.296844285,97.88145805
91.44982646,0.139956033,121.2605776,0.258790254,97.58034054
91.22406196,0.127148929,120.8952491,0.238532671,97.27953683
91.053487,0.136878808,120.666067,0.24732678,97.71999905
90.86330612,0.122386233,120.435612,0.231024585,98.1826934
90.58080934,0.103674297,120.2287981,0.206063992,97.94287646
90.30767195,0.120277217,120.2279829,0.23621624,97.44112495
90.00861373,0.107063994,120.1127147,0.204668105,96.73768903
89.39513386,0.096354216,119.4591409,0.192214492,96.09517024
88.83738633,0.108199116,118.9543779,0.183036438,95.29166368
88.72171131,0.142282651,118.9110135,0.21311297,94.12575761
88.83869898,0.165772416,118.8470865,0.24397928,94.0034914
89.05687794,0.15305621,118.7710301,0.262187262,95.14760148
89.20898836,0.142639666,118.6280367,0.25498481,96.45384373
89.26482715,0.105567677,118.40783,0.226156019,97.35832267
89.22330675,0.096234139,118.1974565,0.224969631,97.92104759
89.20924709,0.11223796,118.0655578,0.23401344,98.18260371
90.43065752,0.14567135,123.764389,0.251076801,95.6607339
90.37701956,0.142296994,123.5480809,0.244388267,96.16278805
90.26260896,0.129569995,123.2240957,0.246742881,96.1740704
90.05641002,0.124873493,122.7027786,0.235853093,96.17403552
89.88289985,0.145720936,122.3517241,0.238290977,96.17435891
89.79774952,0.126523516,122.2373843,0.234259859,96.17448987
89.72192881,0.101172985,122.243538,0.187797339,96.17433177
89.53503122,0.103697253,122.0635104,0.180164007,96.1743555
89.21490661,0.097748142,121.7837076,0.200394642,95.68344018
89.02804889,0.101407438,121.5887833,0.213199064,95.09194407
88.83108709,0.110135461,121.427069,0.208882011,94.48913862
88.58530827,0.098532836,121.3781842,0.167348908,93.57405331
