DC_red,AC_red,(AC/DC)_red,DC_ir,AC_ir,(AC/DC)_ir,SpO2
107.0599961,0.176877287,0.001652132,139.4787539,0.338542334,0.002427196,97.17944927
107.0558862,0.154434744,0.001442562,139.4314111,0.322807544,0.002315171,97.17946417
107.0279351,0.145250416,0.001357126,139.3637791,0.312188603,0.002240099,97.1794513
106.9893669,0.139397739,0.001302912,139.2904594,0.306499412,0.002200434,97.17947026
106.9607139,0.137596599,0.001286422,139.2314342,0.30148274,0.002165335,97.17948638
106.9743569,0.126898097,0.001186248,139.2660304,0.27267603,0.001957951,97.17947766
106.9468971,0.134715209,0.001259646,139.2375441,0.26295374,0.001888526,97.17946427
106.9128743,0.125605201,0.001174837,139.1821878,0.256523345,0.001843076,97.17948424
106.8779014,0.127371763,0.00119175,139.1218431,0.257420746,0.001850326,97.17948961
106.8519966,0.122354971,0.001145088,139.0688955,0.251218149,0.001806429,97.17950238
106.805332,0.122623404,0.001148102,139.0007465,0.24815887,0.001785306,97.179481
106.7466808,0.124949116,0.00117052,138.8656489,0.253307932,0.001824122,97.17945687
106.708732,0.135410916,0.001268977,138.8002577,0.256483477,0.00184786,97.17942738
106.6791255,0.128810415,0.001207457,138.7376521,0.248263663,0.001789447,97.17939342
106.654927,0.127854837,0.001198771,138.6857372,0.25320797,0.001825768,97.17939909
106.63018,0.143492472,0.001345702,138.6449303,0.282728915,0.00203923,97.17939027
106.6212496,0.137816321,0.001292578,138.6332336,0.276915702,0.00199747,97.17938571
106.6102303,0.125639369,0.001178493,138.619507,0.256450866,0.001850034,97.17936403
106.591683,0.132643527,0.001244408,138.5970769,0.264606947,0.001909181,97.17941076
106.5692298,0.13969618,0.001310849,138.5645826,0.273467328,0.001973573,97.17941351
106.5523733,0.139099254,0.001305454,138.5252907,0.255490123,0.001844357,97.17944199
106.5116883,0.14573833,0.001368285,138.4620916,0.265941865,0.001920684,97.17947737
106.4873807,0.13843989,0.001300059,138.4259136,0.260090278,0.001878913,97.1794653
106.447011,0.136474353,0.001282087,138.3789878,0.252439958,0.001824265,97.17947565
106.4075646,0.125555759,0.001179951,138.3191565,0.244335382,0.001766461,97.1794553
106.3743538,0.124696533,0.001172242,138.2685815,0.242735239,0.001755534,97.179462
106.3497922,0.138389806,0.00130127,138.2325061,0.253712446,0.001835404,97.17948551
106.3417832,0.147123187,0.001383494,138.2200161,0.270345193,0.001955905,97.17950911
106.3198704,0.135394635,0.001273465,138.1937241,0.256712244,0.001857626,97.17945591
106.3180876,0.132149441,0.001242963,138.2054349,0.265032851,0.001917673,97.17942783
106.3084454,0.132150071,0.001243082,138.2070621,0.261219167,0.001890057,97.17940807
106.3014469,0.126480101,0.001189825,138.2147008,0.25417662,0.001838998,97.17938335
106.2971954,0.136190359,0.001281223,138.2289679,0.262423324,0.001898468,97.17940647
106.3015311,0.143285328,0.001347914,138.2583512,0.270209645,0.001954382,97.17943505
106.3172203,0.146397485,0.001376988,138.326577,0.268612552,0.001941872,97.17944061
106.2855401,0.136489541,0.001284178,138.283982,0.252868353,0.001828616,97.1794247
106.2614877,0.140577205,0.001322937,138.2459537,0.248841396,0.00179999,97.17942977
106.2324823,0.14407152,0.001356191,138.1958062,0.25110209,0.001817002,97.1794223
106.2104617,0.142518927,0.001341854,138.1539343,0.24850726,0.001798771,97.17942179
106.2048468,0.136805832,0.001288132,138.1348779,0.244053385,0.001766776,97.17943779
106.1992514,0.137495682,0.001294695,138.1184157,0.243407135,0.001762308,97.17944284
106.1994098,0.136379557,0.001284184,138.1096447,0.237550009,0.00172001,97.17943998
106.1864325,0.126928317,0.001195335,138.0959178,0.229411387,0.001661247,97.17940824
106.1535997,0.127106883,0.001197386,138.0447756,0.226367552,0.001639813,97.17938533
106.1395221,0.119990964,0.001130502,138.0334636,0.220766734,0.001599371,97.17938646
106.141255,0.119281508,0.0011238,138.0775443,0.218395328,0.001581686,97.17941026
106.1361712,0.111714031,0.001052554,138.0854177,0.211583697,0.001532267,97.12486367
106.125001,0.100393439,0.000945992,138.1396767,0.189015032,0.001368289,97.02429322
106.1067068,0.101259518,0.000954318,138.1539679,0.18947442,0.001371473,96.92375391
106.0636531,0.098846826,0.000931958,138.1559505,0.184324471,0.001334177,96.82318166
106.0154691,0.083759474,0.000790068,138.1395576,0.169233405,0.00122509,96.7225932
105.9735536,0.095652833,0.00090261,138.1268155,0.184951072,0.001338995,96.62199512
105.9061005,0.096352268,0.00090979,138.0854332,0.188551528,0.00136547,96.52144972
105.8627477,0.098322659,0.000928775,138.0599565,0.189657803,0.001373735,96.36635753
105.8154326,0.095004883,0.000897836,137.9873606,0.188810518,0.001368317,96.16539006
105.7822445,0.088631875,0.000837871,137.9500123,0.186063175,0.001348772,95.964408
105.7148997,0.088119975,0.000833562,137.8727229,0.191879475,0.001391715,95.81795155
105.6610334,0.100285206,0.000949122,137.8328073,0.183319043,0.00133001,95.71751842
105.6039018,0.096629018,0.000915014,137.7892929,0.180717872,0.001311552,95.61711358
105.5524306,0.101057222,0.000957413,137.755446,0.185717985,0.001348172,95.5167127
105.4822138,0.09516072,0.000902149,137.7092807,0.180708477,0.001312246,95.36172984
105.4475197,0.094385245,0.000895092,137.7036528,0.18122008,0.001316015,95.16089778
105.4149073,0.10655359,0.001010802,137.7102067,0.200288087,0.001454417,94.96002174
105.3775864,0.119545091,0.001134445,137.7578898,0.219334196,0.001592172,94.813693
105.3424661,0.114189713,0.001083986,137.7813917,0.208607687,0.001514048,94.71322119
105.2820303,0.124913855,0.001186469,137.8190005,0.217447015,0.001577772,94.61278494
105.2167413,0.124672764,0.001184914,137.805162,0.227875529,0.001653607,94.51231322
105.1166171,0.116189782,0.001105342,137.7404691,0.229009268,0.001662614,94.35722286
105.039397,0.118239513,0.001125668,137.6878135,0.229935869,0.00166998,94.15632289
104.9663651,0.124804566,0.001188996,137.6288748,0.230402969,0.001674089,93.95543942
104.8499735,0.120119459,0.001145632,137.4879351,0.21126622,0.001536616,93.80912152
104.7771877,0.126748055,0.001209691,137.4114073,0.21374878,0.001555539,93.70867116
104.7077367,0.140199725,0.001338962,137.2917989,0.21860442,0.001592261,93.55353962
104.6391718,0.125222658,0.001196709,137.2020906,0.199705741,0.001455559,93.35260903
104.5883831,0.127460535,0.001218687,137.104736,0.205071173,0.001495726,93.15165968
104.5677651,0.133999877,0.001281464,136.9852402,0.209034393,0.001525963,92.95066757
104.559547,0.136251865,0.001303103,136.9063854,0.207361131,0.00151462,92.69499377
104.5492835,0.147560638,0.001411398,136.7947789,0.210654678,0.001539932,92.44817799
104.6104832,0.152033666,0.001453331,136.76155,0.211920387,0.001549561,92.24715335
104.6694418,0.139038271,0.001328356,136.7124368,0.208619876,0.001525976,92.10088003
104.7244625,0.145972016,0.001393867,136.6518433,0.213282943,0.001560776,92.0003251
104.8150182,0.122365884,0.001167446,136.5764535,0.189159515,0.001385008,91.95456283
104.9270966,0.126563852,0.001206208,136.4904804,0.199527751,0.001461844,92.00919728
104.9881994,0.137198608,0.0013068,136.4236431,0.21102248,0.001546818,92.10960313
105.0970101,0.143974757,0.001369922,136.3358539,0.211149324,0.001548744,92.26483256
105.1631722,0.146122809,0.001389487,136.2625198,0.21931566,0.001609508,92.46579387
105.2426133,0.148926812,0.001415081,136.1552093,0.213123583,0.001565299,92.72148491
105.2513394,0.149190523,0.001417469,136.0421673,0.226032633,0.00166149,93.07770765
105.2704615,0.151192361,0.001436228,135.930093,0.234370689,0.0017242,93.47954905
105.3134791,0.175171621,0.001663335,135.7768253,0.26316813,0.00193824,93.82664066
105.3141585,0.173631503,0.0016487,135.6023262,0.271908328,0.002005189,94.12804722
105.3145197,0.176029593,0.001671466,135.4246362,0.276133554,0.00203902,94.37465898
105.3053438,0.178923769,0.001699095,135.2330794,0.259407833,0.001918228,94.63039402
105.2939355,0.156123078,0.001482736,135.1022986,0.245406052,0.001816446,94.93173309
105.284689,0.156258685,0.001484154,134.9271143,0.250311196,0.001855159,95.17827603
105.2487482,0.154107382,0.001464221,134.7819717,0.253397501,0.001880055,95.37910373
105.2469629,0.160816069,0.001527988,134.6222969,0.287329818,0.00213434,95.57993256
105.2460848,0.167458452,0.001591113,134.5304262,0.296321804,0.002202638,95.72600997
