(AC/DC)_red,(AC/DC)_ir,RR,SpO2
0.001652132,0.002427196,0.680675186,97.17944927
0.001442562,0.002315171,0.6230909,97.17946417
0.001357126,0.002240099,0.605833254,97.1794513
0.001302912,0.002200434,0.592116057,97.17947026
0.001286422,0.002165335,0.594098218,97.17948638
0.001186248,0.001957951,0.60586192,97.17947766
0.001259646,0.001888526,0.666999398,97.17946427
0.001174837,0.001843076,0.637432762,97.17948424
0.00119175,0.001850326,0.644075857,97.17948961
0.001145088,0.001806429,0.633895941,97.17950238
0.001148102,0.001785306,0.643084086,97.179481
0.00117052,0.001824122,0.641689371,97.17945687
0.001268977,0.00184786,0.686727751,97.17942738
0.001207457,0.001789447,0.674765258,97.17939342
0.001198771,0.001825768,0.656584563,97.17939909
0.001345702,0.00203923,0.659907013,97.17939027
0.001292578,0.00199747,0.647107828,97.17938571
0.001178493,0.001850034,0.637011164,97.17936403
0.001244408,0.001909181,0.651801824,97.17941076
0.001310849,0.001973573,0.664200953,97.17941351
0.001305454,0.001844357,0.707809889,97.17944199
0.001368285,0.001920684,0.712394727,97.17947737
0.001300059,0.001878913,0.691920792,97.1794653
0.001282087,0.001824265,0.702796556,97.17947565
0.001179951,0.001766461,0.667974837,97.1794553
0.001172242,0.001755534,0.667741121,97.179462
0.00130127,0.001835404,0.708983067,97.17948551
0.001383494,0.001955905,0.707342044,97.17950911
0.001273465,0.001857626,0.685533614,97.17945591
0.001242963,0.001917673,0.648162032,97.17942783
0.001243082,0.001890057,0.657695437,97.17940807
0.001189825,0.001838998,0.646996104,97.17938335
0.001281223,0.001898468,0.674871662,97.17940647
0.001347914,0.001954382,0.689688095,97.17943505
0.001376988,0.001941872,0.709103009,97.17944061
0.001284178,0.001828616,0.702267527,97.1794247
0.001322937,0.00179999,0.734968646,97.17942977
0.001356191,0.001817002,0.746389198,97.1794223
0.001341854,0.001798771,0.745983849,97.17942179
0.001288132,0.001766776,0.729086047,97.17943779
0.001294695,0.001762308,0.73465914,97.17944284
0.001284184,0.00172001,0.746614,97.17943998
0.001195335,0.001661247,0.719540693,97.17940824
0.001197386,0.001639813,0.730197168,97.17938533
0.001130502,0.001599371,0.706841706,97.17938646
0.0011238,0.001581686,0.710507412,97.17941026
0.001052554,0.001532267,0.686925954,97.12486367
0.000945992,0.001368289,0.691368702,97.02429322
0.000954318,0.001371473,0.69583424,96.92375391
0.000931958,0.001334177,0.698526274,96.82318166
0.000790068,0.00122509,0.644906376,96.7225932
0.00090261,0.001338995,0.674095586,96.62199512
0.00090979,0.00136547,0.666283069,96.52144972
0.000928775,0.001373735,0.676094602,96.36635753
0.000897836,0.001368317,0.656160432,96.16539006
0.000837871,0.001348772,0.621210052,95.964408
0.000833562,0.001391715,0.598946445,95.81795155
0.000949122,0.00133001,0.713620039,95.71751842
0.000915014,0.001311552,0.697657016,95.61711358
0.000957413,0.001348172,0.71015628,95.5167127
0.000902149,0.001312246,0.687484903,95.36172984
0.000895092,0.001316015,0.680153416,95.16089778
0.001010802,0.001454417,0.694987615,94.96002174
0.001134445,0.001592172,0.712514379,94.813693
0.001083986,0.001514048,0.715951759,94.71322119
0.001186469,0.001577772,0.751989895,94.61278494
0.001184914,0.001653607,0.716563261,94.51231322
0.001105342,0.001662614,0.664821505,94.35722286
0.001125668,0.00166998,0.674060984,94.15632289
0.001188996,0.001674089,0.710234567,93.95543942
0.001145632,0.001536616,0.745554799,93.80912152
0.001209691,0.001555539,0.777667068,93.70867116
0.001338962,0.001592261,0.840918768,93.55353962
0.001196709,0.001455559,0.822164653,93.35260903
0.001218687,0.001495726,0.814779569,93.15165968
0.001281464,0.001525963,0.839774343,92.95066757
0.001303103,0.00151462,0.860349902,92.69499377
0.001411398,0.001539932,0.916532514,92.44817799
0.001453331,0.001549561,0.937898483,92.24715335
0.001328356,0.001525976,0.870496023,92.10088003
0.001393867,0.001560776,0.893060407,92.0003251
0.001167446,0.001385008,0.842916347,91.95456283
0.001206208,0.001461844,0.825127543,92.00919728
0.0013068,0.001546818,0.844831573,92.10960313
0.001369922,0.001548744,0.88453777,92.26483256
0.001389487,0.001609508,0.863298741,92.46579387
0.001415081,0.001565299,0.904032457,92.72148491
0.001417469,0.00166149,0.853131553,93.07770765
0.001436228,0.0017242,0.832982045,93.47954905
0.001663335,0.00193824,0.858167657,93.82664066
0.0016487,0.002005189,0.822216889,94.12804722
0.001671466,0.00203902,0.819739624,94.37465898
0.001699095,0.001918228,0.885762888,94.63039402
0.001482736,0.001816446,0.816283872,94.93173309
0.001484154,0.001855159,0.800014584,95.17827603
0.001464221,0.001880055,0.778818001,95.37910373
0.001527988,0.00213434,0.715906272,95.57993256
0.001591113,0.002202638,0.722367225,95.72600997
0.001481792,0.002142664,0.691565231,95.82643976
0.00150438,0.00222724,0.675445812,95.92689437
0.001661787,0.002374903,0.699728283,96.02731249
0.001385071,0.002101661,0.659036283,97.17894653
0.001401202,0.002174881,0.644266169,97.17893266
0.001487458,0.002240959,0.66375978,97.17892069
0.001507194,0.002356921,0.639475539,97.17892192
0.001536835,0.002404307,0.639200725,97.17893489
0.001525278,0.002391121,0.63789243,97.17891928
0.001371551,0.002298976,0.596592144,97.21778195
0.00141531,0.002177328,0.650021731,97.31812585
0.001399722,0.002105133,0.664908903,97.41843665
0.001358431,0.002030213,0.669107564,97.51882578
0.001491548,0.002173006,0.686398415,97.61913564
0.001492786,0.002155746,0.692468319,97.71951767
0.001478674,0.002129513,0.694371982,97.81986797
0.001434984,0.00203901,0.703764765,97.9202281
0.001446804,0.002091574,0.691729497,97.98165167
0.00152767,0.002184124,0.699442836,97.98167276
0.001662961,0.002285614,0.727577261,97.94283351
0.00185872,0.002646219,0.702406033,97.88145259
0.001784088,0.002567869,0.694773852,97.88148531
0.001809172,0.00261599,0.691581937,97.88142976
0.001793132,0.002444262,0.733608585,97.88145805
0.001670061,0.002340788,0.713461102,97.84244253
0.001529479,0.002230625,0.685672504,97.74211909
0.001476275,0.002120543,0.696177826,97.64178237
0.001492477,0.002115494,0.705498015,97.58036416
0.001530413,0.002134166,0.717101209,97.58034054
0.001394736,0.002076612,0.671640315,97.58035655
0.001343727,0.001965589,0.683625659,97.54145577
0.001326148,0.001926085,0.688520232,97.441145
0.001420992,0.00207237,0.685684122,97.3408389
0.001393809,0.001973052,0.706422728,97.27953683
0.001411444,0.001981238,0.712405063,97.31855376
0.001542696,0.002055806,0.750409452,97.41889189
0.001693647,0.002143242,0.790226883,97.51922557
0.001577559,0.002091154,0.754396593,97.61959586
0.001503279,0.00204968,0.733421512,97.71999905
0.001506407,0.002091432,0.72027528,97.82032351
0.001446315,0.002033299,0.7113145,97.92066682
0.001451266,0.001991653,0.728674369,98.02099148
0.001346839,0.001888515,0.71317356,98.12135221
0.001346927,0.001918241,0.702167557,98.1826934
0.001271623,0.001890009,0.672813331,98.18270305
0.00119466,0.001958166,0.610091319,98.18272888
0.001206728,0.001875849,0.643296827,98.14358051
0.001187064,0.001805943,0.657309534,98.0432529
0.00114455,0.001713932,0.667792129,97.94287646
0.001212687,0.001843883,0.657680886,97.84254328
0.001276106,0.001907341,0.669049792,97.74219147
0.001311893,0.002001611,0.655418565,97.64185432
0.001395331,0.002106029,0.662541356,97.54151254
0.00133186,0.001964736,0.67788267,97.44112495
0.001296996,0.001816149,0.714146208,97.30148244
0.001355503,0.001787173,0.758461769,97.10055057
0.001324181,0.001856834,0.713138918,96.93879218
0.001269777,0.001855906,0.684181729,96.83824852
0.001189486,0.001703967,0.698068726,96.73768903
0.001204127,0.001730248,0.695927144,96.63710057
0.001244107,0.001739388,0.71525552,96.53651879
0.001136431,0.001593489,0.71317184,96.43596539
0.001052931,0.001483446,0.709787288,96.29611096
0.001077846,0.00160904,0.669869344,96.09517024
0.00098304,0.001604882,0.612530624,95.9334685
0.000958715,0.001568039,0.611409978,95.83311038
0.001060205,0.001618785,0.654938826,95.69336653
0.001061406,0.00150694,0.704345522,95.4924928
0.001217946,0.001538711,0.79153626,95.29166368
0.001284124,0.001540763,0.83343408,95.09084499
0.001311228,0.001456197,0.900446767,94.85066103
0.001384748,0.001556957,0.889394263,94.54934384
0.001512892,0.001725307,0.876883106,94.28731105
0.001603696,0.001792205,0.894817024,94.12575761
0.001690255,0.001830717,0.923274966,94.0253454
0.00166906,0.001758536,0.949118938,93.92485057
0.001771266,0.001919946,0.922560536,93.86372294
0.001855007,0.002088049,0.888392437,93.90308832
0.001865993,0.002052884,0.90896188,94.0034914
0.001735402,0.002165875,0.801247364,94.10391589
0.001670709,0.002221689,0.751999447,94.28310629
0.001788107,0.002233772,0.800487517,94.58435265
0.001680493,0.002156743,0.779180797,94.88564663
0.001718634,0.002207502,0.778542676,95.14760148
0.001752538,0.002216365,0.790726181,95.38794506
0.001694233,0.00220154,0.769567281,95.68936297
0.001641105,0.002172895,0.75526202,95.99081441
0.001630853,0.002168171,0.752179112,96.25284708
0.001598938,0.002149448,0.743883166,96.45384373
0.00163079,0.00214368,0.76074311,96.65483379
0.001593845,0.002109933,0.755400795,96.81641289
0.001468386,0.002082687,0.705043836,96.9565012
0.001366612,0.002023878,0.675244342,97.15744149
0.001182635,0.001909975,0.61918848,97.35832267
0.001164987,0.001967637,0.592073989,97.51969306
0.001158751,0.001960614,0.591014397,97.62001884
0.001050248,0.001853313,0.566686654,97.72034311
0.001041582,0.001829387,0.569361481,97.82068804
0.001078576,0.001903337,0.566676349,97.92104759
0.001128636,0.001976242,0.571101996,98.02138847
0.001224608,0.002039552,0.600429948,98.12174555
0.001226282,0.002049574,0.598310647,98.1826405
0.001198949,0.002108175,0.568714219,98.18262358
0.001258143,0.001982064,0.634764034,98.18260371
0.001610862,0.002028668,0.794049493,95.6607339
0.001476476,0.001890358,0.781056505,95.76115172
0.001643091,0.00198656,0.827103531,95.86154805
0.001560091,0.001945442,0.801921177,95.9619523
0.001561835,0.001968777,0.793302224,96.06236749
0.001574482,0.001978082,0.795963885,96.16278805
0.001483224,0.001899064,0.781029086,96.17420345
0.001464282,0.00185117,0.791003537,96.17416584
