DC_red,AC_red,DC_ir,AC_ir,(AC/DC)_red,(AC/DC)_ir,RR,SpO2
107.0599961,0.176877287,139.4787539,0.338542334,0.001652132,0.002427196,0.680675186,97.17944927
107.0558862,0.154434744,139.4314111,0.322807544,0.001442562,0.002315171,0.6230909,97.17946417
107.0279351,0.145250416,139.3637791,0.312188603,0.001357126,0.002240099,0.605833254,97.1794513
106.9893669,0.139397739,139.2904594,0.306499412,0.001302912,0.002200434,0.592116057,97.17947026
106.9607139,0.137596599,139.2314342,0.30148274,0.001286422,0.002165335,0.594098218,97.17948638
106.9743569,0.126898097,139.2660304,0.27267603,0.001186248,0.001957951,0.60586192,97.17947766
106.9468971,0.134715209,139.2375441,0.26295374,0.001259646,0.001888526,0.666999398,97.17946427
106.9128743,0.125605201,139.1821878,0.256523345,0.001174837,0.001843076,0.637432762,97.17948424
106.8779014,0.127371763,139.1218431,0.257420746,0.00119175,0.001850326,0.644075857,97.17948961
106.8519966,0.122354971,139.0688955,0.251218149,0.001145088,0.001806429,0.633895941,97.17950238
106.805332,0.122623404,139.0007465,0.24815887,0.001148102,0.001785306,0.643084086,97.179481
106.7466808,0.124949116,138.8656489,0.253307932,0.00117052,0.001824122,0.641689371,97.17945687
106.708732,0.135410916,138.8002577,0.256483477,0.001268977,0.00184786,0.686727751,97.17942738
106.6791255,0.128810415,138.7376521,0.248263663,0.001207457,0.001789447,0.674765258,97.17939342
106.654927,0.127854837,138.6857372,0.25320797,0.001198771,0.001825768,0.656584563,97.17939909
106.63018,0.143492472,138.6449303,0.282728915,0.001345702,0.00203923,0.659907013,97.17939027
106.6212496,0.137816321,138.6332336,0.276915702,0.001292578,0.00199747,0.647107828,97.17938571
106.6102303,0.125639369,138.619507,0.256450866,0.001178493,0.001850034,0.637011164,97.17936403
106.591683,0.132643527,138.5970769,0.264606947,0.001244408,0.001909181,0.651801824,97.17941076
106.5692298,0.13969618,138.5645826,0.273467328,0.001310849,0.001973573,0.664200953,97.17941351
106.5523733,0.139099254,138.5252907,0.255490123,0.001305454,0.001844357,0.707809889,97.17944199
106.5116883,0.14573833,138.4620916,0.265941865,0.001368285,0.001920684,0.712394727,97.17947737
106.4873807,0.13843989,138.4259136,0.260090278,0.001300059,0.001878913,0.691920792,97.1794653
106.447011,0.136474353,138.3789878,0.252439958,0.001282087,0.001824265,0.702796556,97.17947565
106.4075646,0.125555759,138.3191565,0.244335382,0.001179951,0.001766461,0.667974837,97.1794553
106.3743538,0.124696533,138.2685815,0.242735239,0.001172242,0.001755534,0.667741121,97.179462
106.3497922,0.138389806,138.2325061,0.253712446,0.00130127,0.001835404,0.708983067,97.17948551
106.3417832,0.147123187,138.2200161,0.270345193,0.001383494,0.001955905,0.707342044,97.17950911
106.3198704,0.135394635,138.1937241,0.256712244,0.001273465,0.001857626,0.685533614,97.17945591
106.3180876,0.132149441,138.2054349,0.265032851,0.001242963,0.001917673,0.648162032,97.17942783
106.3084454,0.132150071,138.2070621,0.261219167,0.001243082,0.001890057,0.657695437,97.17940807
106.3014469,0.126480101,138.2147008,0.25417662,0.001189825,0.001838998,0.646996104,97.17938335
106.2971954,0.136190359,138.2289679,0.262423324,0.001281223,0.001898468,0.674871662,97.17940647
106.3015311,0.143285328,138.2583512,0.270209645,0.001347914,0.001954382,0.689688095,97.17943505
106.3172203,0.146397485,138.326577,0.268612552,0.001376988,0.001941872,0.709103009,97.17944061
106.2855401,0.136489541,138.283982,0.252868353,0.001284178,0.001828616,0.702267527,97.1794247
106.2614877,0.140577205,138.2459537,0.248841396,0.001322937,0.00179999,0.734968646,97.17942977
106.2324823,0.14407152,138.1958062,0.25110209,0.001356191,0.001817002,0.746389198,97.1794223
106.2104617,0.142518927,138.1539343,0.24850726,0.001341854,0.001798771,0.745983849,97.17942179
106.2048468,0.136805832,138.1348779,0.244053385,0.001288132,0.001766776,0.729086047,97.17943779
106.1992514,0.137495682,138.1184157,0.243407135,0.001294695,0.001762308,0.73465914,97.17944284
106.1994098,0.136379557,138.1096447,0.237550009,0.001284184,0.00172001,0.746614,97.17943998
106.1864325,0.126928317,138.0959178,0.229411387,0.001195335,0.001661247,0.719540693,97.17940824
106.1535997,0.127106883,138.0447756,0.226367552,0.001197386,0.001639813,0.730197168,97.17938533
106.1395221,0.119990964,138.0334636,0.220766734,0.001130502,0.001599371,0.706841706,97.17938646
106.141255,0.119281508,138.0775443,0.218395328,0.0011238,0.001581686,0.710507412,97.17941026
106.1361712,0.111714031,138.0854177,0.211583697,0.001052554,0.001532267,0.686925954,97.12486367
106.125001,0.100393439,138.1396767,0.189015032,0.000945992,0.001368289,0.691368702,97.02429322
106.1067068,0.101259518,138.1539679,0.18947442,0.000954318,0.001371473,0.69583424,96.92375391
106.0636531,0.098846826,138.1559505,0.184324471,0.000931958,0.001334177,0.698526274,96.82318166
106.0154691,0.083759474,138.1395576,0.169233405,0.000790068,0.00122509,0.644906376,96.7225932
105.9735536,0.095652833,138.1268155,0.184951072,0.00090261,0.001338995,0.674095586,96.62199512
105.9061005,0.096352268,138.0854332,0.188551528,0.00090979,0.00136547,0.666283069,96.52144972
105.8627477,0.098322659,138.0599565,0.189657803,0.000928775,0.001373735,0.676094602,96.36635753
105.8154326,0.095004883,137.9873606,0.188810518,0.000897836,0.001368317,0.656160432,96.16539006
105.7822445,0.088631875,137.9500123,0.186063175,0.000837871,0.001348772,0.621210052,95.964408
105.7148997,0.088119975,137.8727229,0.191879475,0.000833562,0.001391715,0.598946445,95.81795155
105.6610334,0.100285206,137.8328073,0.183319043,0.000949122,0.00133001,0.713620039,95.71751842
105.6039018,0.096629018,137.7892929,0.180717872,0.000915014,0.001311552,0.697657016,95.61711358
105.5524306,0.101057222,137.755446,0.185717985,0.000957413,0.001348172,0.71015628,95.5167127
105.4822138,0.09516072,137.7092807,0.180708477,0.000902149,0.001312246,0.687484903,95.36172984
105.4475197,0.094385245,137.7036528,0.18122008,0.000895092,0.001316015,0.680153416,95.16089778
105.4149073,0.10655359,137.7102067,0.200288087,0.001010802,0.001454417,0.694987615,94.96002174
105.3775864,0.119545091,137.7578898,0.219334196,0.001134445,0.001592172,0.712514379,94.813693
105.3424661,0.114189713,137.7813917,0.208607687,0.001083986,0.001514048,0.715951759,94.71322119
105.2820303,0.124913855,137.8190005,0.217447015,0.001186469,0.001577772,0.751989895,94.61278494
105.2167413,0.124672764,137.805162,0.227875529,0.001184914,0.001653607,0.716563261,94.51231322
105.1166171,0.116189782,137.7404691,0.229009268,0.001105342,0.001662614,0.664821505,94.35722286
105.039397,0.118239513,137.6878135,0.229935869,0.001125668,0.00166998,0.674060984,94.15632289
104.9663651,0.124804566,137.6288748,0.230402969,0.001188996,0.001674089,0.710234567,93.95543942
104.8499735,0.120119459,137.4879351,0.21126622,0.001145632,0.001536616,0.745554799,93.80912152
104.7771877,0.126748055,137.4114073,0.21374878,0.001209691,0.001555539,0.777667068,93.70867116
104.7077367,0.140199725,137.2917989,0.21860442,0.001338962,0.001592261,0.840918768,93.55353962
